Gene,CTL_1,CTL_2,TGFb_1,TGFb_2
HS.570505,6.612346002,6.53459868,6.337801402,6.56830201
SERPINB6,11.60545983,11.6337439,11.46345659,11.48210471
CACNA1I,6.758476963,6.666883943,6.486624424,6.44235453
IPO8,9.632495432,9.605561454,9.520805147,9.50171356
HS.540554,6.694344642,6.438251581,6.41917708,6.324037363
KLF8,7.350315196,7.196265243,7.167085125,7.268098084
ZBED4,9.058475862,9.032307989,8.937191143,9.093665919
KIAA0999,9.411961121,9.208552325,9.309125452,9.247321313
NPEPL1,8.968001653,8.788773103,8.842906659,8.492962739
BLID,7.662458358,7.685823764,7.493946857,7.93756421
HS.127857,6.614544513,6.40542206,6.339663499,6.50675895
BIRC3,10.84047531,10.70846997,10.70553049,10.69044934
RIPK5,8.515464052,8.647247635,8.393204288,8.711774354
PDE4C,13.03861878,13.05667882,12.89764369,12.90808838
HS.22469,6.728390359,6.62406625,6.45417494,6.585062779
LOC647054,7.368231364,7.169398568,7.192130856,7.155829993
DNAJC15,9.498141134,9.604176135,9.389376323,9.468011519
HS.562582,6.614179314,6.422544878,6.339331936,6.616111328
JMJD1A,8.756927392,8.866183147,8.637717398,8.724107705
ADNP,9.009898226,8.958873982,8.88185299,9.013007671
HS.539420,6.679331036,6.483678665,6.404030813,6.625227594
HS.537695,6.744522285,6.618765049,6.471483942,6.635932748
LOC646198,6.582705118,6.621411182,6.307434657,6.285264609
HS.538684,6.617682119,6.385039305,6.342303783,6.348662764
HS.161914,6.818553628,6.686861036,6.55231363,6.743028153
COQ9,10.34165914,10.54451313,10.22445382,10.33141585
AGPAT9,11.24551125,11.20510714,11.10953325,10.61572497
FBXO5,9.400546688,8.960313599,9.293234925,8.883924457
EEF2K,9.200898363,9.432830832,9.088135014,9.198543201
PHF17,8.509256217,8.492962739,8.386784518,8.262774544
HS.311524,6.458545851,6.405405503,6.185029296,6.546281931
SLC30A1,7.985303527,7.530187587,7.834176997,7.193994995
FBXL12,8.055423029,7.879977349,7.907557895,8.069596569
TBC1D24,7.420176462,7.414834798,7.246702641,7.055415428
HS.551712,6.551127384,6.469466654,6.276438515,6.309682272
HS.573377,6.711146706,6.748658582,6.43565731,6.627625317
DKFZP564O0823,10.24006947,10.02354391,10.12816318,9.80035163
HS.290550,6.768467483,6.850820425,6.497475441,6.490051036
LOC255326,7.816870404,7.542281589,7.664413262,7.73148111
DHX38,8.311197985,8.266702835,8.177635036,8.163811675
CBX5,8.575405922,8.743820278,8.458604906,8.609147242
HS.577140,6.604968632,6.345367867,6.329091334,6.246181313
HS.443311,6.739444715,6.740716515,6.46532836,6.864245018
HS.566306,6.587671724,6.568265599,6.312411685,6.287498489
MUS81,9.503553515,9.237634394,9.39673054,9.298851132
ECHDC3,9.731932336,9.936461159,9.627166577,9.691815154
HS.563732,6.510921035,6.548449229,6.234721622,6.215266901
BUB1B,7.895667842,7.486001207,7.749816889,7.464640276
BDP1,7.26927662,6.771109976,7.069972915,7.122892741
KIAA1009,7.435009181,7.514158914,7.261834504,7.394039753
C16ORF33,10.61682997,10.392372,10.49835596,10.24785254
RAD51C,9.249189389,9.135089141,9.133859299,9.066054361
LOC653696,6.876940477,6.784448999,6.617576155,6.696504192
TRIOBP,9.109406814,9.237499717,8.983805377,8.995538657
LOC649783,6.527278356,6.385450513,6.251503943,6.350574208
NDUFAB1,12.51609247,12.45286937,12.36089684,12.32589559
ZNF235,7.370603149,7.44571154,7.193188772,7.307877427
HS.538881,6.504873045,6.518863286,6.229366303,6.488162801
FZD2,11.19746464,11.01781436,11.05557709,10.88870689
