Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
MUC20	104.5056	91.17654	97.90656	80.75138
HS.537769	101.8515	85.97	95.41987	93.589
C11ORF68	389.9593	367.4948	365.3324	334.7671
CELP	98.63071	87.46681	92.40067	82.85426
LOC392145	125.5667	106.6145	117.6349	108.0491
TXN2	115.8355	91.90659	108.5176	86.32999
HS.581994	105.1156	85.03455	98.47486	80.2738
HS.148471	121.3872	90.40386	113.7176	94.20258
HS.543597	126.0511	108.9776	118.0868	95.24234
DCLK2	147.2743	123.4736	137.9683	126.7647
HS.143610	93.02866	82.89333	87.15012	79.51479
WDR75	1889.451	1619.223	1770.042	1430.515
RPS11	31784.71	26846.39	29775.82	25284.12
HS.193605	99.83633	90.01741	93.52515	89.05017
HS.562844	110.6185	88.24728	103.6234	109.0348
HS.130562	97.00114	92.73373	90.86544	94.14003
NOL6	1099.044	758.5236	1029.522	798.767
HS.534445	109.426	87.86752	102.5038	86.9262
HS.571950	143.9781	134.1378	134.8699	124.855
BACH2	116.0568	109.0338	108.7147	95.8622
HS.297320	107.3965	97.66275	100.6021	93.90992
HS.581690	105.2439	93.59779	98.58552	93.83314
HS.543898	100.9391	86.88071	94.5519	86.99793
HS.542914	117.9521	93.14375	110.4875	80.73289
HS.146557	85.17803	75.83601	79.78522	70.24928
CA1	93.73827	83.57249	87.80344	86.93259
FARP1	407.0601	370.6398	381.287	390.609
FBXL13	208.5791	135.3243	195.3711	174.48
C1ORF140	108.4416	97.10368	101.5745	87.31441
BHMT2	97.02174	82.18658	90.87755	84.57607
HS.545952	115.3931	105.2113	108.0854	89.28725
HS.364679	102.3735	75.44408	95.88935	79.42719
LOC653720	143.4428	119.496	134.3573	142.6439
CXXC6	105.3044	88.03466	98.63407	92.81262
HS.561644	93.18272	79.81512	87.28016	83.09734
LOC648253	103.2036	103.0225	96.66526	78.27979
ZNF248	245.9845	209.5078	230.3987	190.1819
HS.541981	108.405	92.8561	101.5361	82.98038
HS.306385	85.31773	82.28122	79.91093	83.95028
LOC645927	109.1766	88.57586	102.2578	90.89383
KIRREL3	99.03659	76.633	92.75772	62.91261
HS.552064	97.34939	91.45538	91.17725	103.2911
HS.522004	97.36981	74.0368	91.19624	75.95892
PLOD1	3982.444	3601.404	3729.92	3602.259
ARPC4	2286.7	2082.969	2141.7	1935.566
HS.436001	99.50971	78.33083	93.19941	78.21432
HS.583099	82.86197	81.95771	77.60563	58.54544
LOC728276	88.33767	81.45096	82.73257	82.32094
UNC50	3505.114	2901.3	3282.696	3046.74
HS.540277	91.65098	74.77221	85.83517	90.11623
OR4P4	151.2381	150.6044	141.6407	114.1425
ZFP42	100.2003	93.49816	93.84167	83.27721
HS.540640	102.2506	91.91719	95.76183	88.41818
ARL8B	2387.336	1916.46	2235.826	1967.214
NME6	745.0767	557.9379	697.7818	609.3802
HS.572261	95.68246	101.0781	89.60747	89.69674
UBQLN4	2624.558	2367.6	2457.915	2183.252
COPS6	1200.343	1033.587	1124.128	863.535
LOC646509	114.3959	89.76342	107.1323	88.07892
RCE1	622.8569	524.8365	583.3076	516.3015
HS.578362	105.4801	97.73878	98.78243	99.25387
SPR	610.3566	512.7991	571.6	567.4783
HS.156542	107.1859	105.7387	100.377	101.8124
HS.552013	103.8921	88.8686	97.29237	82.46365
HS.553176	106.5592	101.3763	99.78886	98.21268
ZC3H18	233.7801	172.8672	218.9228	168.523
LOC654342	133.0109	95.02608	124.5574	109.1752
HPSE2	104.1619	84.5089	97.5417	96.00099
HS.333975	121.468	100.9246	113.7455	91.91176
EPDR1	2830.055	2894.607	2650.064	2589.374
HSH2D	107.3801	88.18324	100.5505	82.1699
LOC644137	102.4014	93.07879	95.88731	87.74146
FLJ46109	97.12971	83.44735	90.95015	77.14391
LOC387763	127.8589	104.4021	119.7236	108.92
LOC644591	111.8231	95.91888	104.7071	85.43437
ARHGAP26	141.1431	135.2679	132.1604	121.1625
MBL1P1	122.9034	96.72767	115.0811	108.2994
PAPOLG	184.9481	174.7863	173.1761	151.964
HS.584268	90.95818	81.34142	85.16859	85.4146
CSPG4	179.2053	142.2676	167.7983	155.6221
TSLP	105.3835	95.29581	98.67537	84.3912
HS.297628	98.77027	76.68301	92.4827	65.16837
FAM26D	96.66161	79.92822	90.50796	79.15763
LOC653135	112.0131	106.9862	104.8777	93.74702
LOC647046	96.17128	92.01823	90.04494	88.89011
KIAA0644	104.6483	98.87162	97.98172	88.76509
LOC644039	35342.5	27829.57	33090.96	27920.37
TBC1D3E	92.01541	87.36559	86.1534	88.44514
HS.116847	107.4666	99.42764	100.6195	90.02339
GDI2	4185.305	3351.539	3918.615	3768.566
SIX4	1234.651	1357.542	1155.931	1542.163
DLEU2	140.3722	122.4235	131.4215	113.6158
ZMYND10	108.8743	93.45334	101.9311	118.3119
BAP1	619.1261	518.2358	579.6426	424.0497
LEF1	402.4089	325.4037	376.7403	327.8826
TSPAN31	945.7363	904.8345	885.4064	1107.675
SH3TC1	133.3343	117.4745	124.828	123.3544
HS.566650	93.35804	99.59824	87.40189	88.81049
HS.521785	106.8189	93.12617	100.0032	91.04674
CCDC78	111.4031	96.30133	104.2945	86.95214
HS.582849	132.8509	102.3122	124.369	98.44716
LOC644946	106.5898	86.47952	99.78242	95.72288
LOC653272	91.38742	73.75665	85.55062	94.17385
DEFB114	98.44809	90.92484	92.15979	80.43121
TSPAN5	2875.786	2558.215	2692.09	2603.492
HS.540201	104.5579	103.3109	97.87843	73.66449
LOC648823	99.11774	85.4049	92.78518	89.00311
ALG6	854.8522	827.3959	800.235	704.0634
HS.565153	102.6458	102.2084	96.08742	89.12099
GDF2	101.9622	99.10326	95.44656	90.76555
BCOR	299.161	270.8797	280.0421	313.3137
GJB6	98.05891	78.83065	91.79168	74.23734
CYP26C1	96.29924	76.64417	90.14427	74.93887
LOC649896	92.5949	74.00722	86.67611	73.54411
HS.116823	97.43925	56.66258	91.20929	72.10078
C6ORF25	113.9383	90.83625	106.6534	91.73399
LOC728351	110.4209	91.67233	103.3599	104.065
TARDBP	219.3871	189.1127	205.3576	151.7506
LOC648069	101.5221	88.09071	95.02937	86.80905
RPRM	98.44391	82.43555	92.14755	96.64376
FLVCR2	194.7746	183.2141	182.3147	148.4258
WDR63	93.23426	73.86121	87.26951	86.95927
HS.543924	113.9403	103.9455	106.6503	101.9539
C3	131.9214	117.2753	123.4794	132.681
TBKBP1	107.6664	101.1284	100.7759	81.64765
HS.557928	101.5315	84.27541	95.03256	81.85091
BCL2L13	2061.112	1662.988	1929.174	1797.953
SF3B4	5060.615	4274.666	4736.652	3759.643
CYORF16	111.1502	106.3748	104.0347	84.71186
LOC642132	98.10905	95.68974	91.8268	90.56569
CEP290	202.4624	202.2212	189.4961	188.8985
IGSF5	124.2437	94.50493	116.2867	84.24913
LOC643143	105.0348	90.19582	98.30788	83.94122
B3GALT1	118.9578	103.6303	111.3373	108.5159
HS.565723	107.27	98.72144	100.3977	84.08196
LOC150207	103.3745	92.63212	96.7508	81.31539
HS.565443	94.82556	78.9579	88.74945	83.77829
SCCPDH	319.5916	264.0396	299.1102	229.6655
CP	107.1672	102.6004	100.2974	95.30544
HS.496366	111.7187	96.91116	104.5559	104.1549
HS.559593	105.2835	90.36951	98.53304	96.45326
HS.524570	122.0737	108.1044	114.2431	98.22632
NKAIN3	172.8738	177.5816	161.7805	146.8411
LOC440820	105.0541	84.94183	98.31248	85.38253
HS.583694	108.1801	96.28219	101.2372	95.51472
HS.317664	113.8422	98.36425	106.5346	106.3738
CD3D	93.60189	85.42512	87.59298	77.60252
PRELID2	130.9231	108.3183	122.5176	115.7726
HS.571571	86.29998	81.66923	80.75891	83.37752
HS.563224	97.8921	91.60867	91.60444	69.3736
LOC642622	109.6605	91.12672	102.6147	89.6942
LOC641978	197.7449	171.3958	185.0389	189.0854
HS.538764	85.56924	83.44285	80.07057	90.48701
SEMA4G	136.8685	121.1189	128.0726	118.8874
RBM28	336.1154	274.4961	314.5127	266.7693
LOC652258	101.1755	91.51517	94.67241	86.82747
HS.508682	22097.28	20356.63	20676.88	19473.64
LAMP2	2318.461	2085.77	2169.414	2144.937
HS.545071	88.07035	68.30888	82.40831	74.43404
GNAI2	4813.416	4044.462	4503.914	4038.575
VSNL1	103.2047	98.67207	96.56728	92.46209
HS.564673	113.3444	101.5829	106.0485	97.97706
HS.148889	98.01752	96.5736	91.70815	84.4647
HS.565003	103.083	91.13242	96.44728	96.74316
LOC653073	142.8823	126.1048	133.6841	113.9519
TPD52	207.3779	215.4497	194.0269	194.4389
NRTN	126.3735	105.3893	118.2369	115.6482
ZNF518B	803.4941	677.6635	751.758	757.7943
MAP3K4	559.4184	450.5404	523.3936	456.7808
OAZ1	50199.89	40330.6	46966.57	35139.13
HS.547735	118.104	102.5751	110.4969	85.64649
HS.334272	97.60283	91.50429	91.31587	79.87077
NFKBIB	217.958	167.839	203.9133	168.9877
XAGE2	91.50963	86.67809	85.61241	71.07504
HS.546373	94.34208	88.14986	88.26128	87.13953
SETD1B	235.8346	182.547	220.6336	201.5434
LOC646638	108.4834	98.07809	101.4908	88.387
RBMY1A1	100.7628	92.02539	94.26692	88.43599
CAMKK2	137.1694	131.5323	128.3256	105.4051
C19ORF42	1169.389	945.0877	1093.989	946.6992
RFX1	526.779	399.6803	492.813	398.4442
HS.581152	102.3942	85.38243	95.79185	91.1551
MFRP	86.93221	92.59673	81.32588	78.69012
HS.118769	103.0407	95.05497	96.39321	82.51569
HS.97553	92.39703	82.85851	86.43449	79.57742
LOC442512	107.2841	91.71117	100.3601	79.58163
HS.571599	144.8357	105.9833	135.4881	124.1347
HS.12257	99.18167	88.41647	92.77916	78.04237
LOC88523	1572.557	1381.476	1471.003	1271.851
HS.574095	111.3354	91.12163	104.1452	107.3013
