Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
TGFBI	1095.531	1316.597	8388.606	11434.74
PMEPA1	405.9941	417.3127	2988.027	3725.097
SERPINE1	1328.041	697.2076	7968.456	9469.989
COL4A1	407.5086	402.1391	2191.225	2951.478
TAGLN	148.1715	134.5388	670.1403	616.9023
COL6A3	136.4632	124.884	602.6718	1171.791
MARCH4	207.652	165.307	915.1993	892.3304
SCG5	1013.271	682.363	3245.526	3408.732
LAMC2	1417.723	1179.284	4462.93	6430.154
PLAU	4354.793	3858.348	12816.94	14967.31
KISS1	1041.641	831.6407	3048.575	3173.719
ADAM19	367.7566	496.3127	1054.256	1385.087
FSTL3	258.0777	211.4091	734.4265	904.5327
HS.554507	163.2468	166.5455	452.2141	513.8919
LOC653110	128.337	102.0722	331.6563	295.8952
HS.553145	158.293	98.62607	405.9124	555.5135
COL4A2	255.4757	165.3748	629.6212	810.608
COL7A1	1838.918	999.5155	4448.207	3592.603
FLJ10986	347.4566	307.9804	837.9453	829.4377
PODXL	1097.495	973.1799	2629.151	3446.823
ANXA8L2	144.496	125.2566	344.3463	310.9632
LPXN	3368.57	2878.596	8026.406	7539.475
ANXA8	158.3499	127.5951	372.8868	321.4828
FERMT1	692.945	653.688	1631.501	2258.101
MGC4294	156.7271	179.868	362.0673	512.5213
C15ORF48	1271.439	1068.87	2830.158	3514.373
CSF1R	142.3744	144.4005	312.3297	453.2058
PLCXD1	153.6551	144.3539	334.3777	241.5824
PIK3IP1	414.1819	491.7314	897.5479	1176.948
PPAPDC1A	163.8772	165.4812	349.2714	337.0962
HS.390407	225.6608	177.863	473.5023	525.579
PDGFB	129.6526	104.2721	271.5958	347.917
TNFRSF11B	214.8701	161.1822	446.946	370.2686
MMP9	137.7672	165.1591	284.8778	304.119
begf	561.8315	588.5856	1136.691	1232.943
APCDD1L	1764.663	1528.947	3490.738	4170.811
SLC29A1	778.6489	729.2291	1537.199	2027.412
LOC652846	105.7325	92.10324	208.2482	191.54
THBS1	3878.894	2646.077	7555.637	5996.212
COL5A1	1191.721	1137.904	2312.118	2585.703
LOC643296	128.9858	123.0132	248.9688	282.011
TFPI2	598.2873	450.5291	1150.35	1461.454
ADAMTS6	136.3478	115.1872	260.055	199.6781
C6ORF105	215.2868	181.4762	408.9298	434.373
TIMP1	15980.27	17240.04	29825.58	31215.02
EPHA4	296.5902	230.343	553.0098	638.2772
LOC728285	122.0934	115.6118	227.4645	179.3309
SH3KBP1	2049.048	1988.327	3794.631	4057.37
EDN1	755.1523	504.3947	1369.112	992.8619
C1ORF106	389.8791	370.765	706.507	1053.956
FSD2	81.92411	101.8853	147.0799	82.90602
SRPX	1061.875	1168.146	1872.676	2382.159
MYO10	445.3336	437.8271	783.3785	880.0816
UCN2	375.4577	278.3677	659.3442	570.4556
HSF2BP	195.2957	180.2858	341.8777	319.6124
PLEK2	1828.696	1554.442	3172.64	4707.105
SLC46A3	552.447	510.4117	954.9163	1201.297
NGF	327.6326	259.597	562.3306	432.5995
PTPRK	1141.996	1106.155	1959.147	2543.998
TPM1	831.5195	708.9474	1413.844	1593.29
ODZ3	1420.324	1196.17	2411.822	3280.066
FURIN	184.4799	176.0031	311.8146	371.2586
LPAR5	113.9379	105.1767	192.2596	218.5247
TUBA4A	741.8365	588.3151	1247.722	1121.955
CGB5	104.2437	101.6575	174.8753	190.0789
C10ORF85	137.3637	130.4029	228.4779	253.6594
PDZK1IP1	202.4225	211.9453	335.6692	347.806
PRSS3	1198.662	1222.668	1976.09	2490.441
MLLT11	380.9314	401.2539	624.2764	927.5597
RGS10	1758.28	1805.542	2861.994	2520.169
INPP4B	693.1087	577.7446	1126.455	1000.461
C4ORF26	114.3423	96.07854	184.9781	187.6724
FHOD3	294.3727	295.2392	476.0281	532.7909
CDS1	175.968	159.711	283.456	364.382
OCIAD2	6067.166	6038.771	9746.981	9812.303
PARP8	316.9163	255.8313	508.8204	410.0728
SDCCAG8	270.9111	221.0701	434.8746	400.8722
TBC1D2B	731.6444	564.3802	1170.737	1279.296
IGFBP7	3905.186	4141.875	6224.822	5887.579
NLRP3	141.7758	125.8782	225.8346	200.3844
MMP10	147.8128	149.1388	234.0703	206.8175
HS.542197	69.47688	82.85498	109.7695	74.11016
SPHK1	275.7649	178.5644	434.9444	399.4315
ZNF749	83.78097	91.54611	131.9024	85.55736
ARHGAP22	1041.27	855.4897	1635.664	1345.164
NOG	377.9145	308.5525	593.545	648.2028
HS.542687	100.8773	103.2997	158.1107	90.012
LOC645585	82.40055	101.7262	128.7452	98.08756
DDIT4L	216.4023	249.2572	337.9732	307.7213
PGBD3	127.7804	111.3942	198.9376	129.0546
C5ORF46	81.99043	74.73658	126.5125	117.8485
SMAD7	178.9316	173.1699	275.9838	278.0837
HS.4892	189.1445	185.9256	290.9612	329.8793
HMOX1	451.3962	292.314	693.3314	651.1638
GALNT10	358.5007	289.9954	550.5392	712.6443
EPHB2	199.4088	185.2758	305.8925	389.9586
LOC647911	80.68851	84.21464	123.6996	81.71323
SEMA7A	117.9047	134.3499	180.1354	159.2377
DCLK1	149.8141	140.907	228.6218	309.7013
HECW2	170.5381	136.9164	259.1584	325.8871
SNAI2	292.6873	245.2963	442.8244	464.1675
LOC645671	118.4957	97.41983	179.0876	95.41646
CST6	395.8669	359.3058	597.6669	617.9864
HS.543556	83.0882	81.93027	125.147	71.69068
PSMD2	4816.058	3502.928	7239.761	7275.867
PDGFRB	153.7502	149.7539	230.7357	342.3444
PAX8	171.8049	145.4819	257.7705	249.5424
FADS6	80.55324	76.94734	120.344	79.34171
HS.545878	64.14687	72.39262	95.80976	76.17391
LAPTM5	751.8761	731.4531	1122.806	1291.102
DNAI1	79.62546	85.656	118.8413	89.4988
HS.577366	68.4454	84.56261	102.1534	85.10382
KAL1	184.3364	151.9335	275.0306	298.6629
HS.147826	96.22418	108.4644	142.9182	101.4375
NEDD9	123.0454	113.1303	182.467	180.2464
FRMD6	3618.767	2829.791	5361.102	4799.384
XDH	82.38521	92.37635	121.9914	150.2877
RND1	108.1157	110.8719	159.831	145.1384
CGB1	111.8415	100.5553	165.2114	167.2193
LOC653878	94.76344	79.81574	139.4561	90.77821
ZNF8	121.6704	100.1441	178.9056	92.96
COL27A1	153.9377	116.2676	225.7834	197.6594
CDA	465.7188	473.1031	683.0156	585.0233
HS.566570	74.3382	68.93581	108.9497	88.45683
FKBP1A	4600.563	4057.334	6737.875	7650.66
HAPLN3	136.5564	126.8152	199.3835	202.264
HS.26010	70.80119	75.61419	103.3471	70.50263
LOC441019	790.445	870.0269	1153.528	1084.987
NUDT12	91.27859	83.5981	132.7422	79.66914
HS.581975	101.288	94.33492	147.2935	98.81483
LOC644707	93.87484	101.4338	136.4426	98.35675
PTHLH	129.9547	95.67244	188.8168	201.9097
LOC642489	7545.332	6906.378	10952.86	12125.79
WNT5B	382.2112	311.2813	554.8195	529.1354
ROBO4	309.6367	287.0111	449.1287	432.4965
HS.145933	71.03583	73.49212	102.9958	97.57025
NUAK1	1534.007	1375.998	2223.534	2223.309
SV2B	88.72235	71.07029	128.5961	91.16581
NCOR2	1787.711	1767.088	2584.065	3222.434
LOC645818	91.2829	87.34172	131.8562	81.16479
PGM2L1	293.9387	389.0561	423.5547	584.2185
VASN	1028.79	1067.2	1479.961	1910.547
SH3BP5L	483.1654	465.808	694.6522	566.2589
HS.541161	86.62257	92.95521	124.2931	89.93629
HS.564035	83.70807	83.53616	120.0783	69.11694
HS.539735	96.21789	101.7334	137.9025	119.2567
COL16A1	176.1422	142.8497	252.2928	210.0924
HS.290694	75.21603	85.27654	107.6847	81.23806
COL1A1	113.6714	91.2416	162.5408	175.8284
IL1B	712.5801	807.0843	1017.315	1212.405
HS.130344	81.26788	80.3879	115.6012	81.27227
CTSZ	467.9547	672.265	665.6404	668.2776
HS.369398	135.3836	121.7107	192.3467	231.7403
CCDC109B	3919.116	4046.068	5559.503	5364.234
HS.542675	85.00036	83.70857	120.5657	100.1109
RNF175	92.36242	78.31899	130.9169	78.59798
HS.570523	71.5841	77.19145	101.2736	88.195
TMEM166	453.8936	402.1177	641.9335	451.058
VGLL3	103.9428	97.17117	146.9109	123.5219
RNASE2	97.93835	81.64326	138.3086	96.30231
HS.127509	99.00274	79.16524	139.7764	82.53481
LOC642778	76.82796	77.59666	108.4424	75.97072
HS.562325	89.15055	105.1077	125.7985	99.01752
LOC375295	567.0419	524.8802	799.679	825.3618
HS.146628	69.56945	69.80424	97.97462	69.68702
ITGA5	1389.423	1575.101	1956.347	2061.186
ANKRD34B	74.62187	90.25253	104.9973	80.18134
APP	1159.005	1606.446	1627.191	1153.973
HS.539612	89.23435	100.709	125.2496	99.17855
HS.566805	72.86523	73.71482	102.2315	73.57012
HS.545851	76.46962	89.93293	107.2424	79.24645
OR2AK2	88.76776	89.85164	124.3449	87.50314
COLEC10	77.09769	78.28944	107.9918	74.70358
NLP	123.1035	162.2487	172.3552	139.1662
DNAJB2	1187.172	1039.226	1661.186	1405.846
HS.543609	84.0595	84.61763	117.5201	90.24982
HS.576762	87.80721	76.37298	122.6637	81.25086
HS.558072	253.2362	230.6377	353.5191	458.3735
HS.164030	104.4694	109.79	145.836	95.16206
GLIPR1	790.5186	633.4034	1102.817	1059.901
C21ORF29	81.3481	98.41258	113.4689	86.69031
HS.576170	68.96605	74.34813	96.18777	87.61641
FAM174B	179.5243	153.954	250.1803	223.5836
LOC284215	73.02939	95.05661	101.7658	87.25085
HS.545364	84.69205	93.70698	117.9088	86.64075
HS.566295	78.90377	78.13559	109.7879	71.48643
SLC35F2	2155.034	1755.181	2998.253	3021.19
HS.578947	76.4351	76.77916	106.0911	81.10419
HS.543797	90.1051	83.38467	124.988	94.45777
HS.582423	84.59093	93.8147	117.2538	98.73327
HS.499828	70.23137	73.52841	97.3466	68.68756
LOC402538	78.4463	86.31664	108.7116	103.3207
HS.125424	95.83291	88.94852	132.5752	95.28465
LOC649963	85.52677	84.91501	118.3038	87.17563
HS.543048	102.8409	112.5843	142.1225	86.74817
MMP3	268.0524	216.1695	370.374	235.4749
ATP6V0A4	212.5022	157.0974	293.0063	208.5679
HS.558279	66.27504	59.12902	91.33881	69.02014
MIP	67.97191	78.78908	93.65214	75.453
PKIA	592.3577	521.695	816.0442	880.0842
HS.344350	85.55714	72.99841	117.8102	74.95712
LOC646074	100.0635	116.4185	137.7769	115.5479
CYP27C1	93.90654	89.09166	129.2147	122.1296
HS.571140	66.88248	80.84808	91.9857	91.15244
CHST3	467.5461	427.7876	642.3892	691.9888
ITGB1	6332.956	6005.323	8700.739	9407.859
GPR62	79.44257	76.72363	109.1383	84.91543
CXCL9	90.96854	73.26073	124.9585	77.10192
EFEMP1	334.2359	239.0356	459.1003	367.2409
BHLHB2	5091.332	4521.68	6992.87	8206.149
PLEKHA9	225.6502	236.0463	309.4527	319.661
RCAN1	930.178	539.546	1272.081	687.2562
GADD45B	407.6114	313.9073	557.1497	492.2108
KRT17	108.4086	101.0382	148.1359	119.295
HS.582419	93.03593	85.49331	127.0636	96.64685
HS.358801	72.8987	78.53062	99.52396	75.29374
SERPINE2	11597.63	9833.138	15831.46	15453.64
NAV3	1026.748	706.2751	1401.447	1331.815
HS.564884	108.3075	97.99177	147.7111	95.14719
HS.365163	67.9332	73.34664	92.57967	71.03706
FLJ40292	79.60006	92.64862	108.4324	87.81081
HS.196849	81.3791	82.47366	110.7958	75.42484
CTHRC1	161.1736	164.1868	219.4325	247.0349
HS.575565	80.37849	97.0689	109.3913	75.08106
TRPM1	84.41147	78.01456	114.8283	88.1727
HS.574351	85.15311	102.593	115.728	91.49341
LOC653496	414.7536	330.8161	563.6735	574.2327
LOC646552	83.00302	88.92133	112.7762	82.80142
IL13RA1	1653.86	1619.925	2244.59	2593.641
LOC165186	83.98401	76.64623	113.9443	86.38078
LOC441763	833.004	1211.522	1128.931	1074.164
GLB1L2	121.2641	126.9118	164.2488	118.4819
TBC1D22A	102.5315	113.4907	138.8247	111.793
ZNF774	94.52407	94.12599	127.8823	84.55022
LOC645391	71.08507	77.4715	96.16395	82.96231
HS.402378	82.27585	92.14136	111.2932	82.03875
C14ORF180	95.74791	90.63351	129.4999	98.36565
HS.507449	95.85592	109.7078	129.6361	109.7993
SYNPR	70.15698	74.84103	94.86855	75.97426
HS.436137	78.18877	73.86667	105.657	71.29816
HS.564789	73.28924	89.81235	99.03149	89.0787
HS.562138	87.51602	88.41418	118.2442	91.13095
HS.580251	112.4125	105.7896	151.7564	105.9737
FLJ45079	80.27468	78.69876	108.3701	81.08076
HS.563751	83.1772	83.30495	112.2769	80.86172
IPO7	304.004	357.2108	410.2129	370.4049
FLJ12529	109.858	102.9509	148.1797	110.1352
C3ORF59	209.2871	203.7411	282.2148	257.7145
HS.544257	97.78905	108.818	131.82	97.17992
CXCL2	1739.884	1021.785	2344.882	1505.777
HS.543358	77.71965	66.08622	104.7277	81.20114
RHOD	424.7685	363.6816	572.0711	674.8685
FAM78A	92.72533	104.2187	124.7967	75.36017
HS.223803	73.52458	78.57121	98.95428	88.7896
HS.560630	73.74279	88.03029	99.18539	75.03062
TSPAN12	129.7013	141.825	174.2813	151.8156
HS.146859	98.81092	114.5829	132.7634	105.1671
HS.194988	74.27531	89.96851	99.76003	82.62739
CXORF59	68.62989	76.77679	92.15138	74.92319
HS.582275	85.00765	81.35334	114.1259	81.41196
HS.328661	73.84838	77.22955	99.11508	75.48004
CDKN1A	3579.114	2933.15	4801.861	4207.613
HS.583218	73.6936	76.74075	98.86429	67.41451
LOC645723	116.042	103.0653	155.6551	116.682
DSE	355.0428	335.8085	476.1243	526.1596
HS.582914	93.36742	100.8781	125.1319	87.51485
HS.243518	83.34623	65.8177	111.6553	63.20462
ZNF526	182.4914	216.6263	244.4723	206.8414
LOC646332	87.16747	84.49027	116.7531	93.10529
HS.564261	77.58359	93.01944	103.8978	84.80941
MBOAT2	281.7581	240.7093	377.27	391.5396
STK38L	127.5438	120.4355	170.7772	169.7514
HS.333400	90.09598	87.98643	120.6298	78.60204
LOC643319	673.9302	437.651	902.0189	748.7274
HS.582102	88.19384	95.49993	118.0036	108.9379
HS.541005	73.71831	89.75668	98.62883	77.71012
PCGF5	141.702	138.4171	189.5526	152.4839
KLHL26	160.8859	150.463	215.0842	184.9672
HS.568556	90.7657	98.10138	121.3203	93.38207
HS.143004	84.12038	94.33924	112.3851	97.68068
HS.195726	80.11525	74.80725	107.0052	74.63111
GRIN2C	82.0507	85.61465	109.5893	77.49882
HS.576557	79.22009	77.43884	105.8073	87.90562
TMEM184A	81.45054	84.94905	108.7616	74.10503
SBSN	78.71441	92.49191	105.0255	91.70795
HS.554504	80.90789	69.84772	107.9176	85.5349
HS.129851	87.08571	101.5235	116.1458	93.60693
HS.551221	75.04002	74.4054	100.066	79.59809
LMAN1	201.0183	145.0627	267.9476	201.2172
LOC388938	81.21893	79.97172	108.2401	93.13219
PTPRB	106.7673	96.94755	142.2205	126.0845
FAM132A	89.47897	113.196	119.1874	98.33887
HS.520420	89.03465	104.1149	118.5162	88.31607
CCL27	93.54416	88.14035	124.5105	89.04768
LOC646209	98.38446	98.23284	130.9458	99.78044
OR51B6	82.41425	86.70534	109.6679	61.60718
HS.544333	74.86353	78.55632	99.52238	78.45457
HS.545286	88.54999	91.54675	117.6958	85.68103
HS.583869	69.56805	74.66573	92.39603	86.04562
HS.285193	85.86961	85.44921	114.0462	94.21951
HS.171251	84.74377	104.5819	112.5407	97.91161
HS.209919	85.50936	94.47841	113.5403	100.4456
MGC70870	82.31121	79.30126	109.2803	79.92278
SH2D4A	340.9567	265.3966	452.2505	386.6263
HS.542666	78.7866	84.01881	104.5027	77.84668
GPR109A	70.6007	78.30707	93.63859	98.74987
MT1A	24194.49	20026.89	32088.03	29559.81
CITED4	175.7557	193.2746	232.9636	316.8288
HS.578136	81.92752	78.02728	108.5708	79.323
HIST1H2AB	81.47993	79.22991	107.8906	76.06253
DCAMKL3	88.92242	93.87847	117.7413	95.63949
LOC647246	94.87096	94.22427	125.5122	94.17977
HS.539915	87.47608	96.54058	115.7266	83.70561
OC90	82.15823	84.20214	108.6657	77.55418
HS.134065	85.99662	95.93099	113.7329	98.90754
HS.54707	81.57124	86.7356	107.805	72.45081
NT5E	3086.157	2737.554	4078.278	4982.714
CAP2	2485.518	2427.008	3284.204	3215.899
TUFT1	1077.048	818.9727	1423.108	1243.934
HS.490243	76.93399	79.86076	101.5901	73.25548
CD40	226.9003	210.2719	299.4815	275.4959
ASXL3	78.57064	83.05724	103.676	65.38538
LOC399829	78.35462	87.57282	103.3698	84.50799
HS.14706	87.5949	95.80204	115.4853	88.09464
HS.127829	82.17216	92.35983	108.2546	80.46364
HS.542224	83.26152	76.0562	109.6246	85.41929
HS.537814	97.95625	108.9684	128.9259	89.133
POLM	323.1328	267.4074	425.2391	408.8106
UCN3	69.97166	81.0116	92.062	79.70354
LOC653425	81.37441	75.47026	107.045	87.06373
LOC727820	240.3671	287.67	316.0562	311.2063
HS.436033	159.4367	156.9878	209.6144	206.4485
HS.544902	76.14381	82.71398	100.0977	98.16211
HS.576309	82.0573	96.19359	107.8482	81.91664
HS.545068	80.57365	93.63097	105.8552	90.48624
KRT81	4773.414	3627.483	6270.249	5023.868
ANGPTL4	147.2047	126.8612	193.3632	161.5964
HS.546173	81.96273	68.23232	107.6499	90.93726
TMEM84	84.59747	86.67048	111.0837	76.95488
LOC653920	86.81033	97.18615	113.9751	67.53201
HS.562114	69.29261	81.2137	90.96539	80.81101
SLC39A5	66.38852	68.53484	87.12106	67.84357
LOC388117	76.91285	83.28969	100.878	84.64724
FLJ21986	154.2601	144.3523	202.3046	187.4383
C20ORF39	109.4594	108.481	143.5346	97.58469
HS.131365	81.46473	94.40218	106.7998	69.92295
HS.559427	69.55506	78.10291	91.18208	83.07413
ZNF221	74.87336	71.779	98.13421	71.85151
GRIN2A	85.66499	75.88245	112.2773	94.01171
HS.539158	83.51907	81.70766	109.4547	69.10178
CKLF	4392.275	4881.571	5755.168	6523.274
HS.558704	84.62057	84.65215	110.8655	97.64451
HS.349207	70.40446	85.65997	92.2181	70.78484
AOC3	65.77424	87.73183	86.13658	72.24318
HS.575038	109.2751	115.0001	143.0859	177.1798
KCNJ12	72.18726	69.70233	94.51884	71.15854
FBXW4	375.7342	396.6485	491.9611	529.1981
HS.527876	76.68403	82.8291	100.4031	86.81699
HS.545659	78.13979	78.90963	102.2793	84.65562
HS.49112	90.93856	96.65162	119.0294	95.59292
HS.129416	77.25898	89.72821	101.1098	72.38029
LOC643344	82.95522	80.85675	108.5636	79.29815
MSN	12760.95	11806.42	16697.44	19737.61
LY6G6E	83.79175	102.7862	109.6278	83.56553
LOC392221	96.28956	92.61806	125.9202	92.85363
HS.116299	80.0659	71.41039	104.6856	83.18737
OR2G2	79.78829	79.8353	104.3158	70.4971
LOC728145	86.09735	82.47969	112.5614	89.4557
LOC642867	81.51019	78.52863	106.5504	94.2124
HS.471264	99.28764	106.3346	129.7713	117.9528
LOC649182	79.11082	100.6165	103.3615	93.94309
C10ORF62	74.89851	83.72412	97.85344	78.64686
LOC388885	88.40726	90.99995	115.4998	88.56162
HS.537864	77.36893	77.77972	101.0708	78.92487
SMOX	367.7636	286.0811	480.3346	441.6446
HS.557940	85.77737	79.55843	112.0284	77.0216
SLC22A8	74.87328	73.34549	97.78497	82.6251
HS.132283	85.67363	93.3084	111.859	102.2214
LOC400406	88.60852	88.60234	115.6708	111.0867
LOC388114	85.04135	93.24477	110.9496	83.09452
KRT7	920.8852	1035.961	1200.078	1259.528
HS.195372	90.85088	102.1012	118.3864	96.4314
HS.418279	102.016	93.20448	132.9192	95.45759
HS.278111	71.25752	95.70722	92.84007	81.03349
DOT1L	115.8508	108.6198	150.9346	111.9335
HS.112680	82.90511	82.27164	107.9839	76.52705
HS.49962	82.206	85.60357	107.0667	80.11646
HS.541043	89.22775	82.95183	116.1758	84.0853
HS.545744	89.42796	95.83663	116.4233	81.84669
PRKCA	1110.937	1380.083	1446.099	1606.759
USP53	335.0296	273.612	435.957	401.7087
HS.580799	84.60487	83.51102	110.0837	79.74786
LOC649661	160.0214	153.7524	208.2014	139.9305
HS.550293	77.82826	87.35399	101.189	88.98511
LOC644227	81.25557	99.29465	105.5866	80.0242
HS.540341	103.7049	110.3064	134.7129	95.74348
LCAT	132.3532	128.564	171.9162	110.3639
HS.582255	73.10129	89.48343	94.91886	78.67769
HS.517091	99.44913	114.5337	129.1094	91.89468
HS.436313	94.02763	88.56012	122.0499	101.5684
HS.520343	79.11205	71.37695	102.6776	83.40945
LOC387934	301.9239	242.211	391.843	378.417
HS.148484	102.9055	102.4718	133.5266	85.61465
HS.579408	80.1457	78.51928	103.9911	77.02699
LOC728939	93.56727	91.9374	121.3896	101.464
HS.507668	87.62334	95.69736	113.6665	99.66579
HS.571151	72.57133	73.14031	94.1373	82.29269
LOC653580	411.3664	291.7994	533.491	405.5795
SLN	99.05595	92.79179	128.4609	98.99541
LOC728340	77.73629	87.66115	100.8089	66.24814
HS.538299	98.2075	109.579	127.3459	90.62698
HS.552878	90.6475	90.80813	117.5401	91.10967
HS.565893	81.10056	72.38399	105.1247	72.82927
MYO1D	125.6529	128.1361	162.7464	200.8231
C1ORF56	132.3517	122.86	171.4065	142.6536
LOC643338	73.86214	85.97562	95.64342	74.99775
HS.554692	82.43435	82.76031	106.7392	90.35959
HS.540643	71.70662	76.88036	92.83915	71.28345
ULK1	1430.091	1309.075	1851.385	1955.865
HS.582279	76.82159	102.5984	99.44955	99.14756
LOC644436	76.16621	101.5328	98.57307	79.58262
DNM3	94.33093	80.21108	122.0502	131.207
HS.545649	77.93764	75.68315	100.8364	71.29433
HS.408044	71.52592	80.90607	92.51769	85.95674
GJA10	90.75724	92.75162	117.3577	88.87488
ST8SIA6	91.86861	89.99831	118.7606	94.17361
CEP170	155.857	136.5441	201.466	207.0479
LOC654165	104.1371	120.0201	134.6085	101.4777
GDPD5	410.1288	366.2726	530.0341	515.5022
HS.291166	92.60026	76.90425	119.6599	80.08226
HS.147829	93.3962	90.20146	120.6799	89.87289
IRX1	123.5554	116.4022	159.6253	105.5016
NMBR	92.7121	99.50783	119.7458	104.6236
C21ORF7	447.2087	521.1624	577.5447	681.1705
HS.578248	76.31443	77.77626	98.55212	83.19357
LOC390975	99.21829	100.8837	128.1276	127.498
MGAT4C	71.60588	80.43303	92.46152	81.52646
HS.540027	91.28647	93.72671	117.8673	83.07997
HS.571821	71.2923	72.27129	92.04428	76.80986
IRF8	103.8601	101.2415	134.0733	88.81399
HS.544967	74.70064	87.47008	96.4309	95.186
CYP2A6	100.3367	94.47659	129.488	93.54501
HS.137098	70.85936	79.90488	91.42627	85.84958
HS.540843	96.83452	101.6157	124.9343	89.65313
HS.434739	90.3834	85.68093	116.6014	92.55155
SH3GL3	91.66194	96.43447	118.2493	81.92102
OR1E1	80.85706	87.06541	104.2958	69.92905
C1ORF150	78.03435	76.00631	100.6536	84.21088
HS.161875	78.81831	92.31807	101.6541	82.26048
LOC644655	78.49667	75.48583	101.2283	106.4493
HS.385770	78.42184	80.85326	101.0885	66.89446
COL8A1	424.2812	342.5252	546.8933	482.3734
HS.552987	84.29019	82.67386	108.64	79.73332
LOC647181	84.86715	102.7373	109.3828	90.73009
LOC643901	86.84917	86.89491	111.9265	79.75365
LOC649635	95.30076	95.13443	122.8033	83.04465
TMEM16B	99.3177	104.18	127.9341	96.25928
HS.129114	91.20752	90.60382	117.4803	82.62438
ZNF808	90.93443	95.51794	117.119	90.29185
HS.49132	93.12479	106.4633	119.9247	88.75658
HS.572932	90.28101	73.89417	116.2272	84.59302
HS.475733	73.48357	74.86742	94.58974	73.56927
HS.348809	82.18497	75.45714	105.7829	84.54243
LOC646573	96.55198	92.11649	124.2495	93.48583
HS.125563	83.38199	82.0422	107.3	81.62915
XYLT1	90.59933	97.66597	116.5594	100.8192
TACR2	112.4285	100.3311	144.6375	83.96805
LOC650921	79.5978	101.2521	102.3353	82.90122
PRAMEF9	76.6139	62.83902	98.49776	63.99969
PEA15	7302.831	5906.492	9384.11	8074.051
HS.542459	77.24063	84.60393	99.24992	84.85988
HS.136279	93.99545	98.38766	120.7734	102.5815
HS.565647	78.32421	90.44036	100.6163	76.87475
LOC651065	90.08351	90.83839	115.7093	76.1236
ZNF677	81.57471	75.65178	104.7789	79.74067
ATOX1	4217.853	4182.826	5416.824	5299
GNA15	2090.364	2210.257	2684.047	2787.559
LOC654200	77.4717	70.81467	99.46679	79.30791
STARD10	973.3003	921.1837	1249.601	1547.559
FBXW12	85.51053	75.41977	109.7585	73.58111
SDC1	378.6794	367.1935	485.9447	433.1252
SPATS2	300.8145	296.4223	385.9423	324.0773
DRP2	85.63493	82.55045	109.8657	72.0164
LCE3E	95.03947	98.12083	121.9263	90.79564
HS.538695	76.56274	71.15617	98.20967	79.79954
LOC652094	71.13686	74.34566	91.24513	64.90559
HS.126387	81.62083	89.57473	104.685	93.49889
LOC652799	76.98757	85.139	98.7371	70.04657
PIK3CD	571.5565	495.5157	732.8728	756.2581
ARG99	80.11765	72.7155	102.7106	77.72689
OPRD1	92.19504	84.97652	118.1803	80.74768
HS.572645	81.12473	84.60831	103.978	80.73041
GABARAPL1	1105.512	1011.227	1416.922	1468.905
HS.545391	88.94169	84.19582	113.9535	82.92814
LOC387941	103.7032	108.3053	132.8614	98.35621
FLJ40288	83.75797	91.67364	107.3045	83.94292
TTLL8	84.46885	80.90219	108.2112	70.3987
UBE2D1	92.76096	79.36005	118.8157	71.33884
GPA33	114.5615	92.18358	146.7323	130.4937
HS.377508	87.56184	84.62102	112.145	72.45779
MYL7	82.6376	90.34683	105.8148	95.42471
HS.560290	93.21188	101.9662	119.3451	87.8131
CABP4	82.46233	84.60728	105.5789	94.29724
HS.550126	95.66218	90.79738	122.4715	87.08862
CMTM3	619.6406	700.0324	792.751	1042.637
HS.551249	103.7644	111.0487	132.7511	96.71248
LOC651012	91.20539	99.76118	116.6572	97.29289
HS.570977	87.4735	107.4988	111.8715	101.8314
HS.545241	83.3574	93.09844	106.607	91.19949
LOC643409	91.12486	99.11012	116.5383	98.07124
LOC644922	94.1257	89.01253	120.3594	104.458
HS.526470	83.69475	76.73124	107.0107	94.49688
HS.580901	89.42252	79.88446	114.2979	77.9436
LOC649909	80.45467	79.61311	102.8344	80.87276
HS.548984	97.88263	110.4136	125.076	93.70412
HS.583304	77.86359	77.36884	99.46777	76.91815
HS.216652	74.67014	80.49015	95.38147	83.69501
OR2M4	94.59624	100.1689	120.8233	84.64014
HS.542905	80.80428	85.52151	103.1805	96.83243
LOC644880	80.24336	80.75849	102.4596	92.61315
HS.564054	108.5536	99.0262	138.5952	112.2995
HS.444793	74.9315	80.41658	95.62572	68.54645
HS.578356	97.34249	92.13623	124.198	82.30545
HS.559911	78.31374	86.61689	99.91683	81.53729
TLR5	103.2324	108.7288	131.6728	141.5067
HS.445343	88.90075	89.52797	113.3838	98.02039
HS.546037	87.32031	94.06575	111.3487	74.81895
LOC647315	80.35092	94.8065	102.4579	86.56512
HS.62645	121.305	104.0186	154.6036	116.327
UBTD1	1104.453	1005.128	1407.118	1258.006
PCTK2	107.202	108.5862	136.5535	108.0161
SSX8	82.33345	89.55728	104.8479	72.70761
HS.582498	79.80442	89.2772	101.6262	85.8819
LOC647134	76.96942	84.07447	97.98663	77.04958
HS.539702	87.12556	89.09842	110.9046	95.50416
LOC649641	85.65125	94.92635	109.0258	89.18439
HS.541120	106.0042	120.2308	134.8763	124.56
GRIN2D	95.99716	80.20183	122.1271	70.63007
LOC439914	75.54918	73.93883	96.10412	95.5218
KHDRBS2	80.36343	65.27728	102.2261	82.02064
CD300LB	87.02681	101.5731	110.637	78.79379
